Video ID,Title,Channel,Channel ID,Subscribers,Views,Likes,Comments,Thumbnail
YuEBtH_FWQk,La mejor Meditación GUIADA para soltar el ESTRÉS y la ANSIEDAD🎧 | Mindful Science,Mindful Science,UCvZKEunQgNxg6iJh62YGcdQ,1420000,2821732,64836,2834,https://i.ytimg.com/vi/YuEBtH_FWQk/default.jpg
zg10W6iyYAU,Meditación Guiada: Mindfulness para comenzar tu día | Mindful Science,Mindful Science,UCvZKEunQgNxg6iJh62YGcdQ,1420000,2812371,76517,3347,https://i.ytimg.com/vi/zg10W6iyYAU/default.jpg
wSndsVh8HRM,Meditación para la ansiedad,Minimalistamente,UCs1p_zrf835mg2TAKEawrxw,572000,2233331,35658,1357,https://i.ytimg.com/vi/wSndsVh8HRM/default.jpg
dUUgpNVlIGY,Meditación Guiada por Lama Rinchen Gyaltsen | Amor bondadoso (I),Paramita,UC9uMYCMlq9sEFLHO6r0awXA,545000,230808,4357,158,https://i.ytimg.com/vi/dUUgpNVlIGY/default.jpg
eUdJAcz6nfA,Ejercicio de Meditación para Dormir Bien - Maytte,Maytte Sepulveda,UCjd1IqMxEJVhI0yfEVvXumQ,102000,188725,4119,102,https://i.ytimg.com/vi/eUdJAcz6nfA/default.jpg
tcYCsPrn_Sc,🎧 MEDITACIÓN GUIADA | PODER Y VITALIDAD | Daniel Habif,DANIEL HABIF,UCwoMnHuOQrhKj7r4-Onh0wg,3330000,395652,13117,673,https://i.ytimg.com/vi/tcYCsPrn_Sc/default.jpg
Y9YpCrri-aE,"Meditación - De Dios es conocer las intenciones del corazón y de los pensamientos, Hno Darío Falcón",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,223747,0,0,https://i.ytimg.com/vi/Y9YpCrri-aE/default.jpg
JyCzY7QqMSI,Requisitos para la meditación efectiva – Dr. Charles Stanley,Ministerios En Contacto,UCD04yL7cANb5RW4LgsQjqOg,789000,404127,13729,402,https://i.ytimg.com/vi/JyCzY7QqMSI/default.jpg
J6Z_JWmu-oM,Meditación Guiada Profunda para Conectar con el UNIVERSO - Cuencos Tibetanos & Ondas Alpha,Lorena Molinero,UCkSJZVShwj-AvGa9UDGf5Rw,269000,970978,21185,1223,https://i.ytimg.com/vi/J6Z_JWmu-oM/default.jpg
dhBNoQUdCdc,"Meditación: Mateo 22 vr 2 al 14, Hna  María Luisa Piraquive, 04 mayo 2020, IDMJI.",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,285304,0,0,https://i.ytimg.com/vi/dhBNoQUdCdc/default.jpg
Qip4gqgnyg8,🎧 MEDITACIÓN GUIADA | NO MÁS MIEDO | Daniel Habif,DANIEL HABIF,UCwoMnHuOQrhKj7r4-Onh0wg,3330000,829017,31410,859,https://i.ytimg.com/vi/Qip4gqgnyg8/default.jpg
eloMTSLu7C4,"Meditación: Mateo 21 vr 33 al 45, Hna. María Luisa Piraquive, 01 mayo 2020, IDMJI",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,245698,0,0,https://i.ytimg.com/vi/eloMTSLu7C4/default.jpg
ZgafJCCFct8,Neurociencia y Meditación - Directo con Nazareth Castellanos,Mi Curso Mindfulness,UCuNT0P9fLMRjhpPU7mF2IdQ,105000,443751,14824,532,https://i.ytimg.com/vi/ZgafJCCFct8/default.jpg
O-6f5wQXSu8,10-Minute Meditation For Anxiety,Goodful,UCEMArgthHuEtX-04qL_8puQ,1630000,17096096,314022,13496,https://i.ytimg.com/vi/O-6f5wQXSu8/default.jpg
4DsOtJ1Kt0U,MEDITACION PARA UN DETOX MENTAL - 10 minutos Meditación guiada,Pau's Secrets,UCXob1p_5b9G8Qe9RVc3PdZg,44300,336050,11018,519,https://i.ytimg.com/vi/4DsOtJ1Kt0U/default.jpg
2BmdKnVcPtc,Meditación Guiada para la Ansiedad,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,956057,19199,599,https://i.ytimg.com/vi/2BmdKnVcPtc/default.jpg
4uoC6QbjwJ8,Meditación para la Mañana 25 min,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,2433447,54492,2651,https://i.ytimg.com/vi/4uoC6QbjwJ8/default.jpg
a2HdQGSdsxw,Meditación Guiada para Dormir: LIMPIEZA ENERGÉTICA,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,1318077,20284,451,https://i.ytimg.com/vi/a2HdQGSdsxw/default.jpg
RjfXkQmhT-U,El Jardín 🍀  de la TRANSFORMACIÓN 🧘🏻‍♀️ Meditación Guiada con Elsa Punset,Elsa Punset,UCBFxE8PWFM58J57sJXaFZJQ,260000,61749,2235,39,https://i.ytimg.com/vi/RjfXkQmhT-U/default.jpg
phF7VvJstwA,"Meditación: Lucas 5 vr. 17 al 26, Hna  María Luisa Piraquive, 29 mayo 2020, IDMJI",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,319978,0,0,https://i.ytimg.com/vi/phF7VvJstwA/default.jpg
_vFgZhAOk5I,Meditación Guiada para Dormir Profundamente y Descansar... Estupenda!!,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,4617386,41317,720,https://i.ytimg.com/vi/_vFgZhAOk5I/default.jpg
dIZzTAiHf1s,La meditación bíblica en cuanto a la valentía – Dr. Charles Stanley,Ministerios En Contacto,UCD04yL7cANb5RW4LgsQjqOg,789000,175990,6861,182,https://i.ytimg.com/vi/dIZzTAiHf1s/default.jpg
aEqlQvczMJQ,10-Minute Meditation For Sleep,Goodful,UCEMArgthHuEtX-04qL_8puQ,1630000,10690700,91476,3466,https://i.ytimg.com/vi/aEqlQvczMJQ/default.jpg
mHUymPKIc9s,EN VIVO: Meditación de la gratitud con Pablo Gómez Psiquiatra,Pablo Gómez Psiquiatra,UCdwxjEwpKg26GJv299bxzow,855000,373739,18806,1921,https://i.ytimg.com/vi/mHUymPKIc9s/default.jpg
Z4ZnLAVvjho,Meditación Guiada para Dormir Atrayendo Abundancia y Prosperidad,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,637101,9983,237,https://i.ytimg.com/vi/Z4ZnLAVvjho/default.jpg
KTq-ITJ7EAY,"MEDITACIÓN guiada: Observar, pero no juzgar. Dejar ir. | Mindful Science",Mindful Science,UCvZKEunQgNxg6iJh62YGcdQ,1420000,274865,11245,558,https://i.ytimg.com/vi/KTq-ITJ7EAY/default.jpg
krKAiEESlNs,The Power of Godly Meditation – Dr. Charles Stanley,In Touch Ministries,UCXL6kvDyoQpvtaeafC4pLyg,1280000,1675353,30692,1304,https://i.ytimg.com/vi/krKAiEESlNs/default.jpg
O7LJVKei6XM,MEDITACIÓN GUIADA PARA DORMIR Y RELAJARSE PROFUNDAMENTE | INSOMNIO | MEDITACIÓN NOCHE | EASY ZEN,Easy Zen,UC2Z5BQhJWVgLX71_frN4oTA,1420000,2501286,26191,527,https://i.ytimg.com/vi/O7LJVKei6XM/default.jpg
OV8_TSwjQbY,Meditación Guiada para Elevar la Vibración,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,528294,15080,649,https://i.ytimg.com/vi/OV8_TSwjQbY/default.jpg
mWDkXfFxYyI,Meditación de la Aceptación,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,493061,14233,694,https://i.ytimg.com/vi/mWDkXfFxYyI/default.jpg
wsUenJR6hCg,Meditación Guiada para SOLTAR y DEJAR IR:  Apego y Rechazo,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,1139580,28834,739,https://i.ytimg.com/vi/wsUenJR6hCg/default.jpg
IShkpOm63gg,MEDITACIÓN para Principiantes *6 Minutos*,CuriosaMente,UCX16cLWl6dCjlZMgUBxgGkA,3930000,5274139,187185,3848,https://i.ytimg.com/vi/IShkpOm63gg/default.jpg
f-c8vr49pD8,¿Funciona la meditación?,CuriosaMente,UCX16cLWl6dCjlZMgUBxgGkA,3930000,818787,50710,1707,https://i.ytimg.com/vi/f-c8vr49pD8/default.jpg
XXXaoKi7IY0,🧘‍♂🧘‍♀ Meditación guiada Mindfulness de 7 minutos,Psicología en Serio con Guillermo Orozco,UCV3AJtO6IMQd1cPtOha2BGA,278000,2838441,49087,926,https://i.ytimg.com/vi/XXXaoKi7IY0/default.jpg
zJQkGwTtVyA,"Meditación: El testimonio que Dios hizo acerca del Señor Jesucristo, Hna. María Luisa Piraquive.",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,450456,0,0,https://i.ytimg.com/vi/zJQkGwTtVyA/default.jpg
Ro3GF7T6MEE,"Meditación: Mateo 10 vr. 5 al 15, Hna. María Luisa Piraquive, 22 mayo 2020",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,363045,0,0,https://i.ytimg.com/vi/Ro3GF7T6MEE/default.jpg
hfoCB77_xec,"Meditación: Lucas 17 vr. 20 al 37, Hna. María Luisa Piraquive, 26 junio 2020, IDMJI",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,272262,0,0,https://i.ytimg.com/vi/hfoCB77_xec/default.jpg
68BNtc5p1cE,Meditación: La armadura de Dios – 23 de Mayo de 2020 – Hno Álvaro Herrera – IDMJI,Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,425968,0,0,https://i.ytimg.com/vi/68BNtc5p1cE/default.jpg
R7CwsB12jDo,"Meditación: Un clamor por la angustia y un canto de alabanza, 6 de Junio, Hno. Álvaro Herrera, IDMJI",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,469588,0,0,https://i.ytimg.com/vi/R7CwsB12jDo/default.jpg
zs8k6AZLqcs,"Meditación: No hay porque dudar, Hno. Álvaro Herrera - 9 de mayo de 2020 - IDMJI",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,713414,0,0,https://i.ytimg.com/vi/zs8k6AZLqcs/default.jpg
1ln-gryq7lM,Meditación guiada Aumentar la Confianza en uno mismo 🧡  @GabrielaLitschi,Gabriela Litschi,UCJ80RT5ob5mSJT8KRwqGW4g,394000,1111307,24714,523,https://i.ytimg.com/vi/1ln-gryq7lM/default.jpg
0kJucT7nF2s,"Meditación - Lo que cuesta seguir a nuestro Señor Jesucristo,  Hna. María Luisa Piraquive 20.04.2020",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,805468,0,0,https://i.ytimg.com/vi/0kJucT7nF2s/default.jpg
b31mmOYT0Vc,"Meditación: Lucas 7 vr. 18 al 28, Hna. María Luisa Piraquive, 18 mayo 2020, IDMJI",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,361222,0,0,https://i.ytimg.com/vi/b31mmOYT0Vc/default.jpg
Ty7DdrXIUTA,"Meditación - (Audio) Mateo 5 verso 38 al 48, Hna. María Luisa Piraquive, 17 abril 2020. IDMJI",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,817397,0,0,https://i.ytimg.com/vi/Ty7DdrXIUTA/default.jpg
cqlGgFwWuz4,"Meditación: Mateo 20 vr. 1 al 16, Hna. María Luisa Piraquive - 27 abril 2020, IDMJI.",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,488488,0,0,https://i.ytimg.com/vi/cqlGgFwWuz4/default.jpg
h_dlTLR1lm4,"Meditación: Las hermosas bendiciones de Nuestro Señor Jesucristo para con su Iglesia, IDMJI",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,525173,0,0,https://i.ytimg.com/vi/h_dlTLR1lm4/default.jpg
NVqhuMaLCSM,Meditación: Dios es tu sombra a tu mano derecha - 13 de Junio de 2020 - Hno Álvaro Herrera - IDMJI,Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,464527,0,0,https://i.ytimg.com/vi/NVqhuMaLCSM/default.jpg
cS34ts3VBcQ,"Meditación: Lucas 16 vr. 19 al 31, Hna. María Luisa Piraquive, 22 de junio de 2020, IDMJI.",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,500261,0,0,https://i.ytimg.com/vi/cS34ts3VBcQ/default.jpg
raJGfhbfeCA,"Meditación: El lamento que el Señor Jesús hizo de Jerusalén, Hna. María Luisa Piraquive, 19 jun 2020",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,306577,0,0,https://i.ytimg.com/vi/raJGfhbfeCA/default.jpg
w0Xr7dDdI64,"Meditación: Lucas 13 vr. 22 al 30, Hna. María Luisa Piraquive, 15 junio 2020, IDMJI",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,417863,0,0,https://i.ytimg.com/vi/w0Xr7dDdI64/default.jpg
LEbdQ5Mt2kg,🧘🏻‍♀️ Meditación para NIÑOS 👶  LA PLAYA 🌊  Meditación Guiada con Elsa Punset,Elsa Punset,UCBFxE8PWFM58J57sJXaFZJQ,260000,267850,2822,0,https://i.ytimg.com/vi/LEbdQ5Mt2kg/default.jpg
fJqMzYNuMlw,Meditación Guiada Petición al Universo,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,3860545,89340,3141,https://i.ytimg.com/vi/fJqMzYNuMlw/default.jpg
YuEBtH_FWQk,La mejor Meditación GUIADA para soltar el ESTRÉS y la ANSIEDAD🎧 | Mindful Science,Mindful Science,UCvZKEunQgNxg6iJh62YGcdQ,1420000,2821732,64836,2834,https://i.ytimg.com/vi/YuEBtH_FWQk/default.jpg
wSndsVh8HRM,Meditación para la ansiedad,Minimalistamente,UCs1p_zrf835mg2TAKEawrxw,572000,2233331,35658,1357,https://i.ytimg.com/vi/wSndsVh8HRM/default.jpg
zg10W6iyYAU,Meditación Guiada: Mindfulness para comenzar tu día | Mindful Science,Mindful Science,UCvZKEunQgNxg6iJh62YGcdQ,1420000,2812371,76517,3347,https://i.ytimg.com/vi/zg10W6iyYAU/default.jpg
eUdJAcz6nfA,Ejercicio de Meditación para Dormir Bien - Maytte,Maytte Sepulveda,UCjd1IqMxEJVhI0yfEVvXumQ,102000,188725,4119,102,https://i.ytimg.com/vi/eUdJAcz6nfA/default.jpg
dUUgpNVlIGY,Meditación Guiada por Lama Rinchen Gyaltsen | Amor bondadoso (I),Paramita,UC9uMYCMlq9sEFLHO6r0awXA,545000,230808,4357,158,https://i.ytimg.com/vi/dUUgpNVlIGY/default.jpg
ArHdVXdQfR8,"Meditación - Mateo 11 vr. 25 al 30, Hna. María Luisa Piraquive, 25 mayo 2020, IDMJI",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,307548,0,0,https://i.ytimg.com/vi/ArHdVXdQfR8/default.jpg
tcYCsPrn_Sc,🎧 MEDITACIÓN GUIADA | PODER Y VITALIDAD | Daniel Habif,DANIEL HABIF,UCwoMnHuOQrhKj7r4-Onh0wg,3330000,395652,13117,673,https://i.ytimg.com/vi/tcYCsPrn_Sc/default.jpg
JyCzY7QqMSI,Requisitos para la meditación efectiva – Dr. Charles Stanley,Ministerios En Contacto,UCD04yL7cANb5RW4LgsQjqOg,789000,404127,13729,402,https://i.ytimg.com/vi/JyCzY7QqMSI/default.jpg
dhBNoQUdCdc,"Meditación: Mateo 22 vr 2 al 14, Hna  María Luisa Piraquive, 04 mayo 2020, IDMJI.",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,285304,0,0,https://i.ytimg.com/vi/dhBNoQUdCdc/default.jpg
J6Z_JWmu-oM,Meditación Guiada Profunda para Conectar con el UNIVERSO - Cuencos Tibetanos & Ondas Alpha,Lorena Molinero,UCkSJZVShwj-AvGa9UDGf5Rw,269000,970978,21185,1223,https://i.ytimg.com/vi/J6Z_JWmu-oM/default.jpg
eloMTSLu7C4,"Meditación: Mateo 21 vr 33 al 45, Hna. María Luisa Piraquive, 01 mayo 2020, IDMJI",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,245698,0,0,https://i.ytimg.com/vi/eloMTSLu7C4/default.jpg
Qip4gqgnyg8,🎧 MEDITACIÓN GUIADA | NO MÁS MIEDO | Daniel Habif,DANIEL HABIF,UCwoMnHuOQrhKj7r4-Onh0wg,3330000,829017,31410,859,https://i.ytimg.com/vi/Qip4gqgnyg8/default.jpg
4uoC6QbjwJ8,Meditación para la Mañana 25 min,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,2433447,54492,2651,https://i.ytimg.com/vi/4uoC6QbjwJ8/default.jpg
4DsOtJ1Kt0U,MEDITACION PARA UN DETOX MENTAL - 10 minutos Meditación guiada,Pau's Secrets,UCXob1p_5b9G8Qe9RVc3PdZg,44300,336050,11018,519,https://i.ytimg.com/vi/4DsOtJ1Kt0U/default.jpg
2BmdKnVcPtc,Meditación Guiada para la Ansiedad,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,956057,19199,599,https://i.ytimg.com/vi/2BmdKnVcPtc/default.jpg
phF7VvJstwA,"Meditación: Lucas 5 vr. 17 al 26, Hna  María Luisa Piraquive, 29 mayo 2020, IDMJI",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,319978,0,0,https://i.ytimg.com/vi/phF7VvJstwA/default.jpg
Z4ZnLAVvjho,Meditación Guiada para Dormir Atrayendo Abundancia y Prosperidad,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,637101,9983,237,https://i.ytimg.com/vi/Z4ZnLAVvjho/default.jpg
a2HdQGSdsxw,Meditación Guiada para Dormir: LIMPIEZA ENERGÉTICA,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,1318077,20284,451,https://i.ytimg.com/vi/a2HdQGSdsxw/default.jpg
O-6f5wQXSu8,10-Minute Meditation For Anxiety,Goodful,UCEMArgthHuEtX-04qL_8puQ,1630000,17096096,314022,13496,https://i.ytimg.com/vi/O-6f5wQXSu8/default.jpg
dIZzTAiHf1s,La meditación bíblica en cuanto a la valentía – Dr. Charles Stanley,Ministerios En Contacto,UCD04yL7cANb5RW4LgsQjqOg,789000,175990,6861,182,https://i.ytimg.com/vi/dIZzTAiHf1s/default.jpg
RjfXkQmhT-U,El Jardín 🍀  de la TRANSFORMACIÓN 🧘🏻‍♀️ Meditación Guiada con Elsa Punset,Elsa Punset,UCBFxE8PWFM58J57sJXaFZJQ,260000,61749,2235,39,https://i.ytimg.com/vi/RjfXkQmhT-U/default.jpg
GrhR-NToBrI,Dormir Dando GRACIAS por el AMOR que Recibimos: Meditación Guiada,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,763578,15189,258,https://i.ytimg.com/vi/GrhR-NToBrI/default.jpg
_vFgZhAOk5I,Meditación Guiada para Dormir Profundamente y Descansar... Estupenda!!,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,4617386,41317,720,https://i.ytimg.com/vi/_vFgZhAOk5I/default.jpg
krKAiEESlNs,The Power of Godly Meditation – Dr. Charles Stanley,In Touch Ministries,UCXL6kvDyoQpvtaeafC4pLyg,1280000,1675353,30692,1304,https://i.ytimg.com/vi/krKAiEESlNs/default.jpg
KTq-ITJ7EAY,"MEDITACIÓN guiada: Observar, pero no juzgar. Dejar ir. | Mindful Science",Mindful Science,UCvZKEunQgNxg6iJh62YGcdQ,1420000,274865,11245,558,https://i.ytimg.com/vi/KTq-ITJ7EAY/default.jpg
mWDkXfFxYyI,Meditación de la Aceptación,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,493061,14233,694,https://i.ytimg.com/vi/mWDkXfFxYyI/default.jpg
O7LJVKei6XM,MEDITACIÓN GUIADA PARA DORMIR Y RELAJARSE PROFUNDAMENTE | INSOMNIO | MEDITACIÓN NOCHE | EASY ZEN,Easy Zen,UC2Z5BQhJWVgLX71_frN4oTA,1420000,2501286,26191,527,https://i.ytimg.com/vi/O7LJVKei6XM/default.jpg
OV8_TSwjQbY,Meditación Guiada para Elevar la Vibración,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,528294,15080,649,https://i.ytimg.com/vi/OV8_TSwjQbY/default.jpg
wsUenJR6hCg,Meditación Guiada para SOLTAR y DEJAR IR:  Apego y Rechazo,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,1139580,28834,739,https://i.ytimg.com/vi/wsUenJR6hCg/default.jpg
IShkpOm63gg,MEDITACIÓN para Principiantes *6 Minutos*,CuriosaMente,UCX16cLWl6dCjlZMgUBxgGkA,3930000,5274139,187185,3848,https://i.ytimg.com/vi/IShkpOm63gg/default.jpg
f-c8vr49pD8,¿Funciona la meditación?,CuriosaMente,UCX16cLWl6dCjlZMgUBxgGkA,3930000,818787,50710,1707,https://i.ytimg.com/vi/f-c8vr49pD8/default.jpg
XXXaoKi7IY0,🧘‍♂🧘‍♀ Meditación guiada Mindfulness de 7 minutos,Psicología en Serio con Guillermo Orozco,UCV3AJtO6IMQd1cPtOha2BGA,278000,2838441,49087,926,https://i.ytimg.com/vi/XXXaoKi7IY0/default.jpg
zJQkGwTtVyA,"Meditación: El testimonio que Dios hizo acerca del Señor Jesucristo, Hna. María Luisa Piraquive.",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,450456,0,0,https://i.ytimg.com/vi/zJQkGwTtVyA/default.jpg
Ro3GF7T6MEE,"Meditación: Mateo 10 vr. 5 al 15, Hna. María Luisa Piraquive, 22 mayo 2020",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,363045,0,0,https://i.ytimg.com/vi/Ro3GF7T6MEE/default.jpg
hfoCB77_xec,"Meditación: Lucas 17 vr. 20 al 37, Hna. María Luisa Piraquive, 26 junio 2020, IDMJI",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,272262,0,0,https://i.ytimg.com/vi/hfoCB77_xec/default.jpg
68BNtc5p1cE,Meditación: La armadura de Dios – 23 de Mayo de 2020 – Hno Álvaro Herrera – IDMJI,Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,425968,0,0,https://i.ytimg.com/vi/68BNtc5p1cE/default.jpg
R7CwsB12jDo,"Meditación: Un clamor por la angustia y un canto de alabanza, 6 de Junio, Hno. Álvaro Herrera, IDMJI",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,469588,0,0,https://i.ytimg.com/vi/R7CwsB12jDo/default.jpg
zs8k6AZLqcs,"Meditación: No hay porque dudar, Hno. Álvaro Herrera - 9 de mayo de 2020 - IDMJI",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,713414,0,0,https://i.ytimg.com/vi/zs8k6AZLqcs/default.jpg
1ln-gryq7lM,Meditación guiada Aumentar la Confianza en uno mismo 🧡  @GabrielaLitschi,Gabriela Litschi,UCJ80RT5ob5mSJT8KRwqGW4g,394000,1111307,24714,523,https://i.ytimg.com/vi/1ln-gryq7lM/default.jpg
0kJucT7nF2s,"Meditación - Lo que cuesta seguir a nuestro Señor Jesucristo,  Hna. María Luisa Piraquive 20.04.2020",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,805468,0,0,https://i.ytimg.com/vi/0kJucT7nF2s/default.jpg
b31mmOYT0Vc,"Meditación: Lucas 7 vr. 18 al 28, Hna. María Luisa Piraquive, 18 mayo 2020, IDMJI",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,361222,0,0,https://i.ytimg.com/vi/b31mmOYT0Vc/default.jpg
Ty7DdrXIUTA,"Meditación - (Audio) Mateo 5 verso 38 al 48, Hna. María Luisa Piraquive, 17 abril 2020. IDMJI",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,817397,0,0,https://i.ytimg.com/vi/Ty7DdrXIUTA/default.jpg
cqlGgFwWuz4,"Meditación: Mateo 20 vr. 1 al 16, Hna. María Luisa Piraquive - 27 abril 2020, IDMJI.",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,488488,0,0,https://i.ytimg.com/vi/cqlGgFwWuz4/default.jpg
h_dlTLR1lm4,"Meditación: Las hermosas bendiciones de Nuestro Señor Jesucristo para con su Iglesia, IDMJI",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,525173,0,0,https://i.ytimg.com/vi/h_dlTLR1lm4/default.jpg
NVqhuMaLCSM,Meditación: Dios es tu sombra a tu mano derecha - 13 de Junio de 2020 - Hno Álvaro Herrera - IDMJI,Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,464527,0,0,https://i.ytimg.com/vi/NVqhuMaLCSM/default.jpg
cS34ts3VBcQ,"Meditación: Lucas 16 vr. 19 al 31, Hna. María Luisa Piraquive, 22 de junio de 2020, IDMJI.",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,500261,0,0,https://i.ytimg.com/vi/cS34ts3VBcQ/default.jpg
raJGfhbfeCA,"Meditación: El lamento que el Señor Jesús hizo de Jerusalén, Hna. María Luisa Piraquive, 19 jun 2020",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,306577,0,0,https://i.ytimg.com/vi/raJGfhbfeCA/default.jpg
w0Xr7dDdI64,"Meditación: Lucas 13 vr. 22 al 30, Hna. María Luisa Piraquive, 15 junio 2020, IDMJI",Iglesia de Dios Ministerial de Jesucristo Internacional,UCUjJIBhmuntlbobKGgDcxAA,829000,417863,0,0,https://i.ytimg.com/vi/w0Xr7dDdI64/default.jpg
LEbdQ5Mt2kg,🧘🏻‍♀️ Meditación para NIÑOS 👶  LA PLAYA 🌊  Meditación Guiada con Elsa Punset,Elsa Punset,UCBFxE8PWFM58J57sJXaFZJQ,260000,267850,2822,0,https://i.ytimg.com/vi/LEbdQ5Mt2kg/default.jpg
fJqMzYNuMlw,Meditación Guiada Petición al Universo,Meditación3,UCmuESTgut4_eKeWtCpV4Ppw,1360000,3860545,89340,3141,https://i.ytimg.com/vi/fJqMzYNuMlw/default.jpg
YuEBtH_FWQk,La mejor Meditación GUIADA para soltar el ESTRÉS y la ANSIEDAD🎧 | Mindful Science,Mindful Science,UCvZKEunQgNxg6iJh62YGcdQ,1420000,2821732,64836,2834,https://i.ytimg.com/vi/YuEBtH_FWQk/default.jpg
zg10W6iyYAU,Meditación Guiada: Mindfulness para comenzar tu día | Mindful Science,Mindful Science,UCvZKEunQgNxg6iJh62YGcdQ,1420000,2812371,76517,3347,https://i.ytimg.com/vi/zg10W6iyYAU/default.jpg
wSndsVh8HRM,Meditación para la ansiedad,Minimalistamente,UCs1p_zrf835mg2TAKEawrxw,572000,2233331,35658,1357,https://i.ytimg.com/vi/wSndsVh8HRM/default.jpg
